               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,             0.02908,            0.016683,                   0,             0.99541,                   1,               0.995,              0.6856,            0.016809,           0.0057297,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.031191,            0.015377,                   0,             0.99205,                   1,               0.995,             0.69147,            0.015508,           0.0058499,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.029003,            0.014221,                   0,             0.98919,                   1,               0.995,             0.68166,            0.018346,           0.0057051,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,             0.03253,            0.013298,                   0,             0.99454,                   1,               0.995,             0.72497,            0.016148,           0.0055785,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,              0.0309,            0.014659,                   0,             0.94886,                   1,             0.98786,             0.66252,            0.018671,           0.0056614,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.027527,            0.012313,                   0,             0.99633,                   1,               0.995,             0.75904,            0.014038,           0.0054026,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.029464,            0.010213,                   0,             0.99156,                   1,               0.995,             0.72189,            0.016186,           0.0055941,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.027762,            0.011908,                   0,             0.99394,                   1,               0.995,             0.76467,            0.014404,           0.0054731,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.027158,            0.015486,                   0,             0.99524,                   1,               0.995,             0.64837,            0.019163,           0.0060067,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.031832,            0.014355,                   0,             0.99222,                   1,               0.995,             0.75094,            0.014662,            0.005493,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,             0.02843,             0.01148,                   0,              0.9929,                   1,               0.995,             0.65106,            0.015584,           0.0052432,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.027198,            0.013709,                   0,             0.99391,                   1,               0.995,             0.73957,            0.014186,           0.0052851,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.026901,            0.014696,                   0,             0.99192,                   1,               0.995,             0.70903,            0.016135,           0.0054519,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.026691,            0.014826,                   0,             0.90885,                   1,               0.995,              0.7117,             0.01607,           0.0057374,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.028676,            0.013701,                   0,             0.99571,                   1,               0.995,             0.70182,            0.016402,           0.0057695,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.030001,            0.014417,                   0,             0.99547,                   1,               0.995,             0.77401,            0.013115,           0.0052555,                   0,            0.008119,            0.008119,            0.008119
                  97,             0.02711,            0.010843,                   0,             0.99466,                   1,               0.995,             0.67784,            0.016383,           0.0053085,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.027436,            0.010019,                   0,             0.99664,                   1,               0.995,              0.7185,            0.016796,           0.0052318,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,             0.02993,            0.014333,                   0,             0.99706,                   1,               0.995,             0.70065,            0.014853,           0.0054864,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,            0.026359,            0.014431,                   0,             0.99685,                   1,               0.995,             0.75687,            0.014272,           0.0053394,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.027554,            0.011101,                   0,             0.99549,                   1,               0.995,             0.74934,             0.01602,           0.0052235,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.026444,            0.010604,                   0,             0.99469,                   1,               0.995,              0.7249,            0.013747,           0.0049386,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.025845,            0.013882,                   0,              0.9957,                   1,               0.995,             0.72464,            0.016357,           0.0052521,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.029326,            0.013733,                   0,             0.99696,                   1,               0.995,              0.7182,            0.012783,           0.0050539,                   0,           0.0079606,           0.0079606,           0.0079606
